,location,voters,spoiltvotes,votes,Зеленський Володимир,Порошенко Петро,tvk,region
1135,140181,554,8,310,292,18,140181,Донецька область
1136,140182,447,8,227,201,26,140182,Донецька область
1137,140183,651,11,407,360,47,140183,Донецька область
1138,140184,715,9,427,383,44,140184,Донецька область
1139,140185,597,7,334,302,32,140185,Донецька область
1140,140186,519,4,276,254,22,140186,Донецька область
1141,140187,1074,16,586,546,40,140187,Донецька область
1142,140188,950,21,514,498,16,140188,Донецька область
1143,140189,487,6,193,183,10,140189,Донецька область
1144,140190,645,13,390,335,55,140190,Донецька область
1145,140191,1248,18,827,792,35,140191,Донецька область
1146,140192,758,16,515,465,50,140192,Донецька область
1147,140193,920,10,555,509,46,140193,Донецька область
1148,140194,119,2,114,104,10,140194,Донецька область
1149,140196,1542,21,941,891,50,140196,Донецька область
1150,140197,1725,27,1059,1002,57,140197,Донецька область
1151,140198,1696,18,998,958,40,140198,Донецька область
1152,140199,1530,19,1083,1014,69,140199,Донецька область
1153,140200,358,2,241,238,3,140200,Донецька область
1154,140201,726,3,483,454,29,140201,Донецька область
1155,140202,771,11,477,450,27,140202,Донецька область
1156,140203,330,3,224,173,51,140203,Донецька область
1157,140204,508,3,392,369,23,140204,Донецька область
1158,140205,372,2,233,216,17,140205,Донецька область
1159,140206,1884,20,1174,1106,68,140206,Донецька область
1160,140207,1055,11,639,620,19,140207,Донецька область
1161,140208,398,3,233,219,14,140208,Донецька область
1162,140209,712,3,506,485,21,140209,Донецька область
1163,140210,843,8,631,608,23,140210,Донецька область
1164,140211,886,4,575,555,20,140211,Донецька область
1165,140212,1494,7,899,876,23,140212,Донецька область
1166,140213,389,5,215,206,9,140213,Донецька область
1167,140214,850,7,563,529,34,140214,Донецька область
1168,140215,823,4,518,465,53,140215,Донецька область
1169,140216,1331,18,927,904,23,140216,Донецька область
1170,140218,1241,15,687,644,43,140218,Донецька область
1171,140376,938,1,554,520,34,140376,Донецька область
1172,140377,847,10,482,466,16,140377,Донецька область
1173,140379,192,0,1,1,0,140379,Донецька область
1174,140382,731,5,381,368,13,140382,Донецька область
1175,140383,610,4,377,361,16,140383,Донецька область
1176,140384,493,2,284,257,27,140384,Донецька область
1177,140392,1024,5,249,212,37,140392,Донецька область
1178,140412,1059,8,704,649,55,140412,Донецька область
1179,140413,1032,9,621,578,43,140413,Донецька область
1180,140414,1171,7,768,710,58,140414,Донецька область
1181,140415,1140,6,737,680,57,140415,Донецька область
1182,140416,1066,12,686,636,50,140416,Донецька область
1183,140417,1205,12,728,718,10,140417,Донецька область
1184,140418,1791,21,1140,1092,48,140418,Донецька область
1185,140419,941,10,603,577,26,140419,Донецька область
1186,140420,266,8,177,164,13,140420,Донецька область
1187,140421,286,4,175,162,13,140421,Донецька область
1188,140422,1257,11,756,701,55,140422,Донецька область
1189,140423,638,7,374,340,34,140423,Донецька область
1190,140424,1335,10,785,732,53,140424,Донецька область
1191,140425,685,9,410,379,31,140425,Донецька область
1192,140426,568,2,357,317,40,140426,Донецька область
1193,140427,987,10,569,534,35,140427,Донецька область
1194,140428,613,3,372,339,33,140428,Донецька область
1195,140429,597,10,327,310,17,140429,Донецька область
1196,140430,522,4,315,299,16,140430,Донецька область
1197,140431,430,2,265,232,33,140431,Донецька область
1198,140432,1997,20,1234,1147,87,140432,Донецька область
1199,140520,1432,17,561,506,55,140520,Донецька область
1200,140521,1211,11,496,481,15,140521,Донецька область
1201,140527,1366,13,692,586,106,140527,Донецька область
1202,140528,654,5,448,436,12,140528,Донецька область
1203,140529,263,2,201,194,7,140529,Донецька область
1204,140530,291,3,223,180,43,140530,Донецька область
1205,140531,669,11,406,377,29,140531,Донецька область
1206,140532,1127,16,498,471,27,140532,Донецька область
1207,140533,1260,12,763,742,21,140533,Донецька область
1208,140534,190,2,124,117,7,140534,Донецька область
1209,140535,2038,12,1035,991,44,140535,Донецька область
1210,140537,432,2,205,185,20,140537,Донецька область
