,location,voters,spoiltvotes,votes,Зеленський Володимир,Порошенко Петро,tvk,region
723,142309,1791,18,1058,1007,51,142309,Донецька область
724,142310,1263,12,502,483,19,142310,Донецька область
725,142311,1266,20,573,535,38,142311,Донецька область
726,142312,1714,21,1084,1000,84,142312,Донецька область
727,142313,1602,21,966,899,67,142313,Донецька область
728,142314,1827,28,992,945,47,142314,Донецька область
729,142315,1742,26,896,835,61,142315,Донецька область
730,142316,1121,20,641,608,33,142316,Донецька область
731,142317,1253,11,674,625,49,142317,Донецька область
732,142318,907,13,466,441,25,142318,Донецька область
733,142319,1607,14,783,759,24,142319,Донецька область
734,142320,922,6,434,397,37,142320,Донецька область
735,142321,936,15,485,461,24,142321,Донецька область
736,142322,1101,13,532,507,25,142322,Донецька область
737,142323,1629,29,894,829,65,142323,Донецька область
738,142324,987,21,529,511,18,142324,Донецька область
739,142325,1262,9,687,670,17,142325,Донецька область
740,142326,1688,30,840,789,51,142326,Донецька область
741,142327,2003,22,917,879,38,142327,Донецька область
742,142328,618,6,331,315,16,142328,Донецька область
743,142329,1134,17,608,587,21,142329,Донецька область
744,142330,1152,11,645,622,23,142330,Донецька область
745,142331,1183,13,686,668,18,142331,Донецька область
746,142332,835,12,525,507,18,142332,Донецька область
747,142333,1507,18,926,889,37,142333,Донецька область
748,142334,1403,18,826,776,50,142334,Донецька область
749,142335,1589,27,874,838,36,142335,Донецька область
750,142337,1643,19,985,926,59,142337,Донецька область
751,142338,1313,20,713,674,39,142338,Донецька область
752,142339,1075,13,564,517,47,142339,Донецька область
753,142340,1368,10,696,649,47,142340,Донецька область
754,142341,2015,29,1173,1114,59,142341,Донецька область
755,142342,1192,19,685,641,44,142342,Донецька область
756,142343,1462,20,821,789,32,142343,Донецька область
757,142344,2220,18,1241,1204,37,142344,Донецька область
758,142345,2305,15,1270,1228,42,142345,Донецька область
759,142346,2122,16,1165,1136,29,142346,Донецька область
760,142347,1172,13,623,602,21,142347,Донецька область
761,142348,1555,16,860,843,17,142348,Донецька область
762,142349,372,3,202,197,5,142349,Донецька область
763,142351,27,0,27,21,6,142351,Донецька область
764,142352,141,9,129,122,7,142352,Донецька область
765,142353,30,0,28,28,0,142353,Донецька область
766,142355,71,2,69,67,2,142355,Донецька область
767,142356,569,3,308,283,25,142356,Донецька область
768,142357,1473,18,859,785,74,142357,Донецька область
769,142358,1564,23,901,833,68,142358,Донецька область
770,142359,2010,33,1216,1142,74,142359,Донецька область
771,142360,1776,24,1077,990,87,142360,Донецька область
